Qualification,Experience,Rating,Place,Profile,Miscellaneous_Info,Fees
"MBBS, MS - ENT",27 years experience,,"Saket, Delhi",ENT Specialist,ENT Checkup (General) Congenital Ear Problem Treatment Nosebleed (Epistaxis) Treatment,100
BAMS,44 years experience,,"Malad West, Mumbai",Ayurveda,,50
BHMS,11 years experience,,"Hitech City, Hyderabad",Homeopath,Migraine Treatment Skin Disease Treatment Bronchitis Treatment,450
"MBBS, DDVL",11 years experience,80%,"Dilsukhnagar, Hyderabad",Dermatologists,"80% 4 Feedback Dilsukhnagar, Hyderabad",300
BHMS,28 years experience,,"Goregaon East, Mumbai",Homeopath,,250
"MD - General Medicine, MBBS",30 years experience,,"Velandipalayam, Coimbatore",General Medicine,,100
"BHMS, Diploma in Personal Counselling Skills (DPCS)",16 years experience,100%,"Ghatkopar East, Mumbai",Homeopath,"100% 13 Feedback Ghatkopar East, Mumbai",100
BDS,11 years experience,99%,"Mulund West, Mumbai",Dentist,,200
"MBBS, MS - ENT",17 years experience,93%,"Yousufguda, Hyderabad",ENT Specialist,"93% 6 Feedback Yousufguda, Hyderabad",300
"MBBS, MD - Dermatology, DNB - Dermatology, Venereology & Leprosy",15 years experience,100%,"Andheri West, Mumbai",Dermatologists,"100% 15 Feedback Andheri West, Mumbai",800
BDS,8 years experience,,"Jayanagar, Bangalore",Dentist,Dental Fillings Dental Checkup (General) Dental Crowns,100
GCEH,33 years experience,,"Ghatkopar West, Mumbai",Homeopath,,100
MBBS,30 years experience,99%,"Wadala, Mumbai",General Medicine,Automated Pathology E C G Chronic Disorder Clinic,400
BHMS,3 years experience,,"Janak Puri, Delhi",Homeopath,,700
BDS,4 years experience,,"TVM Beach, Thiruvananthapuram",Dentist,,100
"MBBS, MS - General Surgery, DNB",27 years experience,,"Vanagaram, Chennai",General Medicine,,100
"BHMS, Certification in Personal Counsling",16 years experience,,"Worli, Mumbai",Homeopath,,600
BDS,21 years experience,,"Koramangala 1 Block, Bangalore",Dentist,RCT - Root Canal Treatment Tooth Extraction Wisdom Tooth Extraction,200
DHMS (Diploma in Homeopathic Medicine and Surgery),37 years experience,,"Kodambakkam, Chennai",Homeopath,,200
BHMS,19 years experience,,"Mayur Vihar Ph-I, Delhi",Homeopath,,100
BAMS,15 years experience,,"Saki Vihar Road, Mumbai",Ayurveda,,200
MS - Otorhinolaryngology,6 years experience,,"Versova, Mumbai",ENT Specialist,,500
"BDS, MDS - Conservative Dentistry & Endodontics",25 years experience,95%,"CV Raman Nagar, Bangalore",Dentist,Dental Fillings Presurgical Orthodontics Crowns and Bridges Fixing,200
"Post Graduate Diploma in Healthcare Management(PGDHM), MBBS, MD - Internal Medicine",40 years experience,,"Secunderabad, Hyderabad",General Medicine,,500
"MBBS, MS - ENT",25 years experience,98%,"Shalimar Bagh, Delhi",ENT Specialist,Tonsillitis Treatment Ear Drum Repair Congenital Ear Problem Treatment,800
"MBBS, MD - Dermatology , Venereology & Leprosy, Fellowship in Lasers & Cosmetology",9 years experience,,"BTM Layout 1st Stage, Bangalore",Dermatologists,,400
"MBBS, Fellowship In Anti-Aging And Aesthetic Medicine, Diploma in Practical Dermatology, Fellow Hair Transplant Surgery, Fellowship in Lasers & Advanced Dermatology",16 years experience,94%,"Jubilee Hills, Hyderabad",Dermatologists,"94% 15 Feedback Jubilee Hills, Hyderabad",500
BDS,46 years experience,98%,"Ramkoti, Hyderabad",Dentist,Cosmetic/ Aesthetic Dentistry Conservative Dentistry Fixed Partial Denture (FPD),200
"MBBS, MD - Internal Medicine",35 years experience,,"Saket, Delhi",General Medicine,,600
"BDS, MDS - Paedodontics And Preventive Dentistry",9 years experience,97%,"Borivali West, Mumbai",Dentist,Pediatric Dentistry Dental Implant Fixing Laser Teeth Whitening,500
"DNB - Paediatrics, MRCPCH (UK), MBBS",30 years experience,,"MRC Nagar, Chennai",General Medicine,"1 Feedback MRC Nagar, Chennai ₹500",500
"MBBS, Diploma in Otorhinolaryngology (DLO)",41 years experience,,"Malkajgiri, Hyderabad",General Medicine,,100
"BDS, MDS - Oral Medicine and Radiology",15 years experience,99%,"Yelahanka New Town, Bangalore",Dentist,Presurgical Orthodontics Oral & Maxillofacial Surgery Cosmetic/ Aesthetic Dentistry,200
"MD - Homeopathy, Diploma in Obesity managemnt, BHMS",11 years experience,97%,"Malad West, Mumbai",Homeopath,Skin Disease Treatment Weight Loss Diet Counseling Hair Loss Treatment,100
"MBBS, MS - ENT",9 years experience,99%,"Gachibowli, Hyderabad",ENT Specialist,Microsurgery of the Larynx Thyroplasty Functional Endoscopic Sinus Surgery - FESS,500
"BAMS, Certificate Course In Therapeutic Yoga",10 years experience,100%,"Mogappair West, Chennai",Ayurveda,Tonsillitis Treatment Pituitary Diseases Irritable Bowel Syndrome ( IBS ) Treatment,250
BHMS,18 years experience,,"Mayur Vihar Ph-III, Delhi",Homeopath,,200
BHMS,8 years experience,,"Kurla East, Mumbai",Homeopath,,60
"MBBS, MS - ENT",38 years experience,,"Ashok Vihar, Delhi",ENT Specialist,,500
"MBBS, MD - General Medicine, DNB - Nephrology",33 years experience,80%,"Mahim, Mumbai",General Medicine,Peritoneal Dialysis Acute Renal Failure Chronic Urinary Tract Infections,100
"MBBS, FRGUHS, MD - Dermatology , Venereology & Leprosy",9 years experience,94%,"Whitefield, Bangalore",Dermatologists,Acne / Pimples Treatment Scar Treatment Wart Removal,600
"MBBS, MD - General Medicine, DM - Neurology",27 years experience,,"Villivakkam, Chennai",General Medicine,,200
"Certification in Aesthetic Dentistry, Certificate in Cosmetic Dentistry, BDS",9 years experience,,"Srinagar Colony, Hyderabad",Dentist,Cosmetic/ Aesthetic Dentistry Teeth - Jewellery Scaling / Polishing,300
BHMS,7 years experience,,"Ghatkopar East, Mumbai",Homeopath,,350
"MBBS, MS - ENT, DNB - ENT",32 years experience,,"Mahim, Mumbai",ENT Specialist,,100
"MBBS, MD - General Medicine, MRCP",21 years experience,93%,"Yeshwanthpur, Bangalore",General Medicine,"93% 1 Feedback Yeshwanthpur, Bangalore",400
BHMS,28 years experience,100%,"Pitampura, Delhi",Homeopath,"100% 6 Feedback Pitampura, Delhi",300
"MBBS, MS - ENT",50 years experience,,"Chetpet, Chennai",ENT Specialist,,300
"MS - ENT, MBBS",44 years experience,98%,"Kadavanthra, Ernakulam",General Medicine,"98% 57 Feedback Kadavanthra, Ernakulam",400
"Fellowship In Laryngology Bronchoesophagology, MBBS, DNB - ENT",5 years experience,,"Bhandup West, Mumbai",ENT Specialist,,600
"FAGE, MBBS",4 years experience,100%,"Gujranwala Town, Delhi",General Medicine,"100% 68 Feedback Gujranwala Town, Delhi",300
"MS - ENT, MBBS, MS - Otorhinolaryngology",5 years experience,,"Chromepet, Chennai",ENT Specialist,,300
"MBBS, MD - Dermatology",21 years experience,100%,"Banjara Hills, Hyderabad",Dermatologists,Laser Resurfacing Scar Treatment Wart Removal,500
"BDS, MDS - Pedodontics",9 years experience,99%,"Coimbatore Racecourse, Coimbatore",Dentist,"99% 18 Feedback Coimbatore Racecourse, Coimbatore",200
"MBBS, Diploma in Medical Radio-Diagnosis",29 years experience,93%,"Basheerbagh, Hyderabad",General Medicine,"93% 2 Feedback Basheerbagh, Hyderabad",500
"MD - Dermatology , Venereology & Leprosy, MBBS",10 years experience,100%,"Pammal, Chennai",Dermatologists,"100% 3 Feedback Pammal, Chennai",200
"BDS, MDS - Pedodontics",14 years experience,97%,"Anna Nagar East, Chennai",Dentist,Pediatric Dentistry Filling Scaling / Polishing,200
BHMS,6 years experience,100%,"Malleswaram, Bangalore",Homeopath,Thyroid Disorder Treatment Diabetes Management PME,300
"MDS - Oral & Maxillofacial Surgery, BDS",18 years experience,,"Banashankari, Bangalore",Dentist,Breast Enlargement Breast lift Male Breast Reduction,550
"MBBS, MS - ENT",17 years experience,91%,"Banjara Hills, Hyderabad",ENT Specialist,Vertigo Treatment Geriatric Healthcare Balance Exercises,550
"BHMS, MD - Homeopathy",18 years experience,,"Malad West, Mumbai",Homeopath,Skin Tag Treatment Skin Rash Treatment Skin Blemishes Treatment,500
"BDS, Certification in Full Mouth Rehabilitation",15 years experience,99%,"Velachery, Chennai",Dentist,Acrylic Partial Denture Crowns and Bridges Fixing Artificial Teeth,200
"MD - Dermatology , Venereology & Leprosy, MBBS",6 years experience,,"Chanakyapuri, Delhi",Dermatologists,,900
"MBBS, DDV, DNB",22 years experience,96%,"Kalyan Nagar, Bangalore",Dermatologists,"96% 60 Feedback Kalyan Nagar, Bangalore",500
"BHMS, Diploma in Acupuncture, MD - Homeopathy, Diploma in Naturopathy & Yogic Science (DNYS)",12 years experience,,"Oshiwara, Mumbai",Homeopath,,100
"MBBS, MD - Dermatology",7 years experience,,"Karapakkam, Chennai",Dermatologists,,700
DHMS (Diploma in Homeopathic Medicine and Surgery),27 years experience,96%,"Borivali, Mumbai",Homeopath,General Practice Cough Treatment Fever Treatment,150
"BDS, MFDS RCS",19 years experience,100%,"Alwarpet, Chennai",Dentist,Ceramic Veneers / Crowns Orthotic Splints Disclusion Time Reduction (DTR),200
"MBBS, MS - ENT",24 years experience,,"Powai, Mumbai",ENT Specialist,,700
"MBBS, MS - ENT",10 years experience,93%,"Attapur, Hyderabad",ENT Specialist,Reconstructive Middle Ear Surgery Surgery Of The Facial Nerve Congenital Ear Problem Treatment,300
MBBS,46 years experience,,"Mylapore, Chennai",General Medicine,,150
"MBBS, DNB - Internal Medicine",17 years experience,100%,"Basaveshwaranagar, Bangalore",General Medicine,"100% 3 Feedback Basaveshwaranagar, Bangalore",150
"MS - General Surgery, Fellowship in Minimal Access Surgery, MBBS",45 years experience,94%,"Electronics City, Bangalore",General Medicine,"94% 51 Feedback Electronics City, Bangalore",400
BHMS,3 years experience,,"Malleswaram, Bangalore",Homeopath,,300
BAMS,30 years experience,,"Perungudi, Chennai",Ayurveda,,150
"MBBS, DGO, Diploma in Dermatology",28 years experience,97%,"Madhapur, Hyderabad",Dermatologists,"97% 12 Feedback Madhapur, Hyderabad",500
MBBS,35 years experience,,"Basavanagudi, Bangalore",General Medicine,,100
BDS,8 years experience,,"Thoraipakkam, Chennai",Dentist,Acrylic Partial Denture Crowns and Bridges Fixing Artificial Teeth,200
"BDS, MDS - Oral & Maxillofacial Surgery, Diplomate in Oral Implantology, Masters in Oral Implantology, Implant Externship Program, Fellowship in Implantology, Fellowship in Aesthetic Medicine",19 years experience,94%,"MG Road, Bangalore",Dentist,Dental Implant Fixing Implant Rehabilitation Implant Retained Dentures,500
"MBBS, Diploma in Otorhinolaryngology (DLO)",18 years experience,,"Thiruvottiyur, Chennai",ENT Specialist,,200
"MBBS, MD - Internal Medicine, FRCP",29 years experience,100%,"Adyar, Chennai",General Medicine,"100% 175 Feedback Adyar, Chennai",950
"MD - Ayurveda Medicine, BAMS",5 years experience,,"Mulund West, Mumbai",Ayurveda,,500
"Fellowship in Aesthetic Medicine, MD - Dermatology",19 years experience,,"Greater Kailash Part 2, Delhi",Dermatologists,,750
"BDS, MDS - Paedodontics And Preventive Dentistry",15 years experience,100%,"T Nagar, Chennai",Dentist,Artificial Teeth Impaction / Impacted Tooth Extraction Presurgical Orthodontics,200
"BDS, MDS - Periodontics",9 years experience,,"Kandivali West, Mumbai",Dentist,Crowns and Bridges Fixing Cast Partial Denture Cosmetic/ Aesthetic Dentistry,100
"MD - Dermatology, MBBS",9 years experience,,"Kolenchery, Ernakulam",Dermatologists,,200
BHMS,8 years experience,,"Dwarka, Delhi",Homeopath,,250
"MBBS, Diploma in Dermatology",24 years experience,97%,"Adyar, Chennai",Dermatologists,Acne/ Pimple Scars Treatment Laser Hair Removal - Face Electrocautery,500
"BAMS, M.S. (Ayurved) Stri Roga & Prasuti Tantra",17 years experience,,"Janak Puri, Delhi",Ayurveda,,300
"BAMS, MS - Ayurveda, Fellow of Academy of General Education (FAGE)",6 years experience,99%,"Bilekahalli, Bangalore",Ayurveda,Anorectal Surgeries Ayurvedic Surgery Gastritis Treatment,100
BAMS,11 years experience,,"Kandivali West, Mumbai",Ayurveda,,100
"MBBS, DGO",35 years experience,,"Nanganallur, Chennai",General Medicine,,300
BAMS,28 years experience,,"Rohini, Delhi",Ayurveda,,300
MBBS,31 years experience,,"Dwarka, Delhi",General Medicine,,300
BDS,9 years experience,100%,"Jubilee Hills, Hyderabad",Dentist,RCT Tooth Extraction Dental Crowns,350
BHMS,23 years experience,,"Thrikkakara, Ernakulam",Homeopath,"3 Feedback Thrikkakara, Ernakulam ₹200",200
"MBBS, MS - ENT",22 years experience,56%,"Manapakkam, Chennai",ENT Specialist,"56% 4 Feedback Manapakkam, Chennai",600
"BDS, MDS - Conservative Dentistry & Endodontics",11 years experience,95%,"Bellandur, Bangalore",Dentist,Gum Disease Treatment/ Surgery RCT - Root Canal Treatment Scaling / Polishing,200
MBBS,22 years experience,,"Ameerpet, Hyderabad",General Medicine,,400
BAMS,25 years experience,,"Thiruvallom, Thiruvananthapuram",Ayurveda,,100
BHMS,16 years experience,,"Powai, Mumbai",Homeopath,Skin Allergy Treatment Arthritis Management Musculoskeletal Pain Management,450
"MS - Ayurvedic Gynecology & Obstetrics, BAMS",8 years experience,,"Kukatpally, Hyderabad",Ayurveda,Nadi Pariksha Male/Female Fertility Treatment Panchakarma,400
"MBBS, DNB - ENT",4 years experience,,"Secunderabad, Hyderabad",ENT Specialist,Endoscopic Skull Base Surgery Endoscopic Nasal Surgery Microscopic Ear Surgery,600
"BDS, MDS - Periodontics",5 years experience,,"R.S. Puram, Coimbatore",Dentist,,100
BHMS,10 years experience,,"Kumarapuram, Thiruvananthapuram",Homeopath,,200
"MBBS, MD - Pathology",23 years experience,,"Palam Colony, Delhi",General Medicine,,200
"MBBS, MS - ENT",43 years experience,,"Manali, Chennai",ENT Specialist,,100
BHMS,8 years experience,,"Valasaravakkam, Chennai",Homeopath,,150
"MBBS, MD - Internal Medicine, Fellowship in Rheumatology",37 years experience,95%,"Barkatpura, Hyderabad",General Medicine,Specialized In Arthritis Joint Pain Treatment Rheumatology treatment,700
"MBBS, MD - Dermatology",14 years experience,,"Singanallur, Coimbatore",Dermatologists,,150
BDS,9 years experience,100%,"T Nagar, Chennai",Dentist,Impaction / Impacted Tooth Extraction Conservative Dentistry Cosmetic/ Aesthetic Dentistry,200
"MD - Ayurveda Medicine, BAMS, MBA, D.Y.A",14 years experience,95%,"Mulund, Mumbai",Ayurveda,"95% 28 Feedback Mulund, Mumbai",600
"MBBS, MD - General Medicine",54 years experience,,"Dadar East, Mumbai",General Medicine,,200
BHMS,14 years experience,,"Borabanda, Hyderabad",Homeopath,,500
"MBBS, MD - General Medicine",45 years experience,92%,"Model Town 3, Delhi",General Medicine,"92% 3 Feedback Model Town 3, Delhi",300
BDS,18 years experience,100%,"Goregaon West, Mumbai",Dentist,Dental Implant Fixing Cosmetic/ Aesthetic Dentistry Teeth Whitening,200
"MBBS, MS - ENT, DNB - ENT",6 years experience,,"Ulsoor, Bangalore",ENT Specialist,"5 Feedback Ulsoor, Bangalore ₹400",400
"MBBS, DVD",25 years experience,88%,"Bhayandar West, Mumbai",Dermatologists,"88% 24 Feedback Bhayandar West, Mumbai",800
"MBBS, MD - Medicine",28 years experience,,"Hari Nagar, Delhi",General Medicine,,400
"MBBS, MS - ENT",17 years experience,,"Banashankari 3rd Stage, Bangalore",ENT Specialist,,300
"MBBS, MD - Dermatology , Venereology & Leprosy",12 years experience,68%,"KPHB, Hyderabad",Dermatologists,"68% 12 Feedback KPHB, Hyderabad",400
BHMS,7 years experience,100%,"Horamavu, Bangalore",Homeopath,"100% 4 Feedback Horamavu, Bangalore",200
"DDVL, MBBS",12 years experience,,"Chromepet, Chennai",Dermatologists,,250
"MBBS, Diploma in Public Health",21 years experience,,"Santacruz East, Mumbai",General Medicine,,350
"MBBS, Diploma in Otorhinolaryngology (DLO)",17 years experience,,"OMR Road, Chennai",ENT Specialist,,300
"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",9 years experience,99%,"Panchsheel Park, Delhi",Dentist,Tooth Extraction Dental Fillings Scaling / Polishing,600
"MD - Homeopathy, BHMS",6 years experience,100%,"Kammana Halli, Bangalore",Homeopath,"100% 13 Feedback Kammana Halli, Bangalore",300
"BDS, MDS - Prosthodontics",5 years experience,,"Tilak Nagar, Delhi",Dentist,"Tilak Nagar, Delhi ₹200 Visits Today",200
"MBBS, Diploma in Otorhinolaryngology (DLO)",5 years experience,,"Panathur, Bangalore",ENT Specialist,,400
"BAMS, PhD- Ayurveda",36 years experience,,"Rohini, Delhi",Ayurveda,,400
BHMS,22 years experience,,"Rajarajeshwarinagar, Bangalore",Homeopath,,350
"MD - General Medicine, DM - Critical Care Medicine, Post Graduate Course in Diabetology, MBBS",6 years experience,,"Paravur, Ernakulam",General Medicine,,150
"MBBS, MS - Otorhinolaryngology, DNB - Otorhinolaryngology",21 years experience,94%,"Preet Vihar, Delhi",ENT Specialist,"94% 34 Feedback Preet Vihar, Delhi",500
"MD - Dermatology , Venereology & Leprosy, MBBS",12 years experience,91%,"Gachibowli, Hyderabad",Dermatologists,"91% 5 Feedback Gachibowli, Hyderabad",600
MBBS,37 years experience,,"Chembur East, Mumbai",General Medicine,,200
BSAM,35 years experience,,"Malleswaram, Bangalore",Ayurveda,,300
"MBBS, MD - Dermatology, FRGUHS",13 years experience,98%,"Jakkur, Bangalore",Dermatologists,"98% 29 Feedback Jakkur, Bangalore",350
"MBBS, DDV, MD - Dermatology",35 years experience,96%,"Andheri West, Mumbai",Dermatologists,"96% 13 Feedback Andheri West, Mumbai",100
BDS,11 years experience,,"Vanasthalipuram, Hyderabad",Dentist,Crowns and Bridges Fixing Acrylic Partial Denture Impaction / Impacted Tooth Extraction,100
"MBBS, MD - Dermatology , Venereology & Leprosy",15 years experience,,"Mandaveli, Chennai",Dermatologists,,300
"MBBS, Certificate Course in Sports and Fitness Nutrition, MBBS, Diploma in Advanced Skin and Hair Treatments, Doctor of Medicine (Alternate Medicine)",23 years experience,,"Mulund West, Mumbai",General Medicine,,500
"MBBS, MD - General Medicine",17 years experience,,"Kumara Park West, Bangalore",General Medicine,,400
"BDS, MDS",19 years experience,99%,"Jubilee Hills, Hyderabad",Dentist,Dental Implant Fixing RCT - Root Canal Treatment Cosmetic/ Aesthetic Dentistry,500
BHMS,13 years experience,,"Dilshad Garden, Delhi",Homeopath,,60
"BAMS, Certificate in Cosmetology, Certificate in Cosmetology",28 years experience,,"Wadala, Mumbai",Ayurveda,,400
BAMS,14 years experience,,"Ghatkopar West, Mumbai",Ayurveda,,100
BHMS,10 years experience,,"Domlur, Bangalore",Homeopath,,300
BDS,5 years experience,,"Jeevanbhimanagar, Bangalore",Dentist,"Jeevanbhimanagar, Bangalore Free Consultation Visits Today",100
"MD - Dermatology , Venereology & Leprosy, MBBS",5 years experience,,"Defence Colony, Delhi",Dermatologists,Laser Hair Removal Skin Allergy Treatment keloid/scar treatment,100
"BDS, MDS - Prosthodontics",6 years experience,96%,"KPHB, Hyderabad",Dentist,Scaling / Polishing Smile Design Pulpectomy,200
BDS,6 years experience,,"Pattom, Thiruvananthapuram",Dentist,,100
BDS,8 years experience,100%,"Santacruz West, Mumbai",Dentist,Dental Implant Fixing Orthodontics General Dentistry,300
"MD - Dermatology, MBBS",44 years experience,,"RT Nagar, Bangalore",Dermatologists,,200
BHMS,28 years experience,100%,"AS Rao Nagar, Hyderabad",Homeopath,"100% 17 Feedback AS Rao Nagar, Hyderabad",300
"MBBS, MD - Dermatology, MD - Skin,VD & Leprosy",12 years experience,98%,"Janak Puri, Delhi",Dermatologists,"98% 34 Feedback Janak Puri, Delhi",300
